,Country,Year,Energy
0,Canada,1965,5.00
1,Mexico,1965,1.06
2,United States of America,1965,51.98
3,Argentina,1965,1.18
4,Brazil,1965,0.99
5,Chile,1965,0.26
6,Colombia,1965,0.32
7,Ecuador,1965,0.03
8,Peru,1965,0.20
9,Trinidad & Tobago,1965,0.12
10,Venezuela,1965,0.69
11,Central America,1965,0.16
12,Other Caribbean,1965,0.79
13,Other South America,1965,0.15
14,Austria,1965,0.68
15,Belgium,1965,1.49
16,Bulgaria,1965,0.43
17,Croatia,1965,-
18,Cyprus,1965,0.02
19,Czech Republic,1965,1.69
20,Denmark,1965,0.60
21,Estonia,1965,-
22,Finland,1965,0.42
23,France,1965,4.71
24,Germany,1965,10.69
25,Greece,1965,0.28
26,Hungary,1965,0.67
27,Iceland,1965,0.03
28,Ireland,1965,0.24
29,Italy,1965,3.34
30,Latvia,1965,-
31,Lithuania,1965,-
32,Luxembourg,1965,0.15
33,Netherlands,1965,1.49
34,North Macedonia,1965,-
35,Norway,1965,0.78
36,Poland,1965,2.79
37,Portugal,1965,0.18
38,Romania,1965,1.00
39,Slovakia,1965,0.38
40,Slovenia,1965,-
41,Spain,1965,1.21
42,Sweden,1965,1.41
43,Switzerland,1965,0.66
44,Turkey,1965,0.33
45,Ukraine,1965,-
46,United Kingdom,1965,8.34
47,Other Europe,1965,0.67
48,Azerbaijan,1965,-
49,Belarus,1965,-
50,Kazakhstan,1965,-
51,Russian Federation,1965,-
52,Turkmenistan,1965,-
53,Uzbekistan,1965,-
54,Other CIS,1965,-
55,Iran,1965,0.35
56,Iraq,1965,0.08
57,Israel,1965,0.15
58,Kuwait,1965,0.29
59,Oman,1965,^
60,Qatar,1965,0.01
61,Saudi Arabia,1965,0.85
62,United Arab Emirates,1965,^
63,Other Middle East,1965,0.22
64,Algeria,1965,0.09
65,Egypt,1965,0.33
66,Morocco,1965,0.06
67,South Africa,1965,1.28
68,Eastern Africa,1965,0.39
69,Middle Africa,1965,0.14
70,Western Africa,1965,0.21
71,Other Northern Africa,1965,0.08
72,Other Southern Africa,1965,^
73,Australia,1965,1.53
74,Bangladesh,1965,-
75,China,1965,5.53
76,China Hong Kong SAR,1965,0.09
77,India,1965,2.23
78,Indonesia,1965,0.30
79,Japan,1965,6.56
80,Malaysia,1965,0.12
81,New Zealand,1965,0.31
82,Pakistan,1965,0.30
83,Philippines,1965,0.20
84,Singapore,1965,0.17
85,South Korea,1965,0.27
86,Sri Lanka,1965,0.04
87,Taiwan,1965,0.25
88,Thailand,1965,0.11
89,Vietnam,1965,0.11
90,Other Asia Pacific,1965,0.72
91,Canada,1966,5.32
92,Mexico,1966,1.12
93,United States of America,1966,54.89
94,Argentina,1966,1.22
95,Brazil,1966,1.08
96,Chile,1966,0.28
97,Colombia,1966,0.35
98,Ecuador,1966,0.03
99,Peru,1966,0.25
100,Trinidad & Tobago,1966,0.13
101,Venezuela,1966,0.70
102,Central America,1966,0.16
103,Other Caribbean,1966,0.82
104,Other South America,1966,0.16
105,Austria,1966,0.71
106,Belgium,1966,1.43
107,Bulgaria,1966,0.46
108,Croatia,1966,-
109,Cyprus,1966,0.02
110,Czech Republic,1966,1.70
111,Denmark,1966,0.68
112,Estonia,1966,-
113,Finland,1966,0.47
114,France,1966,4.83
115,Germany,1966,10.72
116,Greece,1966,0.31
117,Hungary,1966,0.67
118,Iceland,1966,0.03
119,Ireland,1966,0.27
120,Italy,1966,3.63
121,Latvia,1966,-
122,Lithuania,1966,-
123,Luxembourg,1966,0.14
124,Netherlands,1966,1.60
125,North Macedonia,1966,-
126,Norway,1966,0.79
127,Poland,1966,2.85
128,Portugal,1966,0.20
129,Romania,1966,1.07
130,Slovakia,1966,0.40
131,Slovenia,1966,-
132,Spain,1966,1.37
133,Sweden,1966,1.51
134,Switzerland,1966,0.71
135,Turkey,1966,0.38
136,Ukraine,1966,-
137,United Kingdom,1966,8.38
138,Other Europe,1966,0.70
139,Azerbaijan,1966,-
140,Belarus,1966,-
141,Kazakhstan,1966,-
142,Russian Federation,1966,-
143,Turkmenistan,1966,-
144,Uzbekistan,1966,-
145,Other CIS,1966,-
146,Iran,1966,0.38
147,Iraq,1966,0.09
148,Israel,1966,0.15
149,Kuwait,1966,0.30
150,Oman,1966,^
151,Qatar,1966,0.01
152,Saudi Arabia,1966,0.86
153,United Arab Emirates,1966,^
154,Other Middle East,1966,0.22
155,Algeria,1966,0.11
156,Egypt,1966,0.35
157,Morocco,1966,0.08
158,South Africa,1966,1.28
159,Eastern Africa,1966,0.43
160,Middle Africa,1966,0.14
161,Western Africa,1966,0.22
162,Other Northern Africa,1966,0.08
163,Other Southern Africa,1966,^
164,Australia,1966,1.61
165,Bangladesh,1966,-
166,China,1966,6.01
167,China Hong Kong SAR,1966,0.10
168,India,1966,2.30
169,Indonesia,1966,0.30
170,Japan,1966,7.25
171,Malaysia,1966,0.14
172,New Zealand,1966,0.33
173,Pakistan,1966,0.30
174,Philippines,1966,0.21
175,Singapore,1966,0.20
176,South Korea,1966,0.33
177,Sri Lanka,1966,0.04
178,Taiwan,1966,0.27
179,Thailand,1966,0.13
180,Vietnam,1966,0.19
181,Other Asia Pacific,1966,0.76
182,Canada,1967,5.57
183,Mexico,1967,1.14
184,United States of America,1967,56.80
185,Argentina,1967,1.26
186,Brazil,1967,1.11
187,Chile,1967,0.29
188,Colombia,1967,0.37
189,Ecuador,1967,0.04
190,Peru,1967,0.25
191,Trinidad & Tobago,1967,0.14
192,Venezuela,1967,0.73
193,Central America,1967,0.17
194,Other Caribbean,1967,0.85
195,Other South America,1967,0.16
196,Austria,1967,0.72
197,Belgium,1967,1.50
198,Bulgaria,1967,0.54
199,Croatia,1967,-
200,Cyprus,1967,0.02
201,Czech Republic,1967,1.67
202,Denmark,1967,0.68
203,Estonia,1967,-
204,Finland,1967,0.50
205,France,1967,5.14
206,Germany,1967,10.69
207,Greece,1967,0.34
208,Hungary,1967,0.64
209,Iceland,1967,0.03
210,Ireland,1967,0.30
211,Italy,1967,3.93
212,Latvia,1967,-
213,Lithuania,1967,-
214,Luxembourg,1967,0.14
215,Netherlands,1967,1.69
216,North Macedonia,1967,-
217,Norway,1967,0.85
218,Poland,1967,2.93
219,Portugal,1967,0.21
220,Romania,1967,1.19
221,Slovakia,1967,0.40
222,Slovenia,1967,-
223,Spain,1967,1.48
224,Sweden,1967,1.55
225,Switzerland,1967,0.75
226,Turkey,1967,0.39
227,Ukraine,1967,-
228,United Kingdom,1967,8.38
229,Other Europe,1967,0.71
230,Azerbaijan,1967,-
231,Belarus,1967,-
232,Kazakhstan,1967,-
233,Russian Federation,1967,-
234,Turkmenistan,1967,-
235,Uzbekistan,1967,-
236,Other CIS,1967,-
237,Iran,1967,0.42
238,Iraq,1967,0.09
239,Israel,1967,0.19
240,Kuwait,1967,0.30
241,Oman,1967,^
242,Qatar,1967,0.01
243,Saudi Arabia,1967,0.87
244,United Arab Emirates,1967,0.02
245,Other Middle East,1967,0.23
246,Algeria,1967,0.10
247,Egypt,1967,0.30
248,Morocco,1967,0.09
249,South Africa,1967,1.34
250,Eastern Africa,1967,0.44
251,Middle Africa,1967,0.14
252,Western Africa,1967,0.23
253,Other Northern Africa,1967,0.09
